Time (s),I,Q
0,0.21142578,0.002441406
1.00E-06,0.20947266,0.043945312
2.00E-06,0.19238281,0.005371094
3.00E-06,0.20263672,0.013671875
4.00E-06,0.19970703,0
5.00E-06,0.19873047,-0.017089844
6.00E-06,0.18603516,0.048828125
7.00E-06,0.19042969,0.02734375
8.00E-06,0.2368164,0.034179688
9.00E-06,0.23291016,0.053222656
1.00E-05,0.16552734,0.023925781
1.10E-05,0.1953125,0.012207031
1.20E-05,0.18017578,0.052734375
1.30E-05,0.1875,0.027832031
1.40E-05,0.21044922,0.036132812
1.50E-05,0.20507812,0.04638672
1.60E-05,0.22558594,0.034179688
1.70E-05,0.21142578,0.037109375
1.80E-05,0.22070312,0.049316406
1.90E-05,0.21923828,0.029785156
2.00E-05,0.18115234,0.0234375
2.10E-05,0.23046875,0.052734375
2.20E-05,0.1953125,-0.006835938
2.30E-05,0.18164062,0.00390625
2.40E-05,0.20214844,0.030273438
2.50E-05,0.20166016,0.008789063
2.60E-05,0.19580078,-0.003417969
2.70E-05,0.20166016,0.008300781
2.80E-05,0.19384766,0.008789063
2.90E-05,0.19677734,0.03173828
3.00E-05,0.2290039,0.032714844
3.10E-05,0.21826172,0.020996094
3.20E-05,0.20898438,0.020019531
3.30E-05,0.21386719,0.010253906
3.40E-05,0.19433594,0.06640625
3.50E-05,0.23046875,0.049804688
3.60E-05,0.2084961,0.029785156
3.70E-05,0.19628906,0.056640625
3.80E-05,0.22167969,-0.002929688
3.90E-05,0.2265625,0.005859375
4.00E-05,0.18798828,0.037597656
4.10E-05,0.23242188,0
4.20E-05,0.20214844,0.0078125
4.30E-05,0.234375,0.002441406
4.40E-05,0.2241211,-0.008789063
4.50E-05,0.22753906,0.029785156
4.60E-05,0.21533203,0.011230469
4.70E-05,0.21484375,-0.003417969
4.80E-05,0.22021484,-0.012207031
4.90E-05,0.2055664,-0.001953125
5.00E-05,0.20263672,-0.014160156
5.10E-05,0.19384766,0.033203125
5.20E-05,0.1850586,0.006835938
5.30E-05,0.18701172,0.030273438
5.40E-05,0.17871094,0.049804688
5.50E-05,0.1694336,0.026367188
5.60E-05,0.20800781,0.029296875
5.70E-05,0.19921875,0.003417969
5.80E-05,0.16894531,0.021484375
5.90E-05,0.23388672,0.004882813
6.00E-05,0.2109375,0.03955078
6.10E-05,0.19824219,0.036621094
6.20E-05,0.19628906,0.021484375
6.30E-05,0.18945312,0.025390625
6.40E-05,0.20361328,0.01171875
6.50E-05,0.2241211,0.006347656
6.60E-05,0.18945312,0.076660156
6.70E-05,0.22070312,0.03955078
6.80E-05,0.21484375,0.011230469
6.90E-05,0.22265625,0.008789063
7.00E-05,0.21386719,0.044433594
7.10E-05,0.19042969,0.012207031
7.20E-05,0.18359375,-0.006835938
7.30E-05,0.20019531,0.023925781
7.40E-05,0.18408203,0.000488281
7.50E-05,0.21191406,0.016113281
7.60E-05,0.22216797,0.013671875
7.70E-05,0.19482422,0.04638672
7.80E-05,0.19238281,0.026367188
7.90E-05,0.18359375,0.008300781
8.00E-05,0.22558594,0.015625
8.10E-05,0.18310547,0.004882813
8.20E-05,0.21875,0.015625
8.30E-05,0.22705078,-0.005371094
8.40E-05,0.17822266,0.01171875
8.50E-05,0.2163086,0.021972656
8.60E-05,0.20996094,-0.001953125
8.70E-05,0.21533203,-0.009277344
8.80E-05,0.23046875,0.05029297
8.90E-05,0.21142578,0.019042969
9.00E-05,0.20703125,-0.006347656
9.10E-05,0.20117188,0.03173828
9.20E-05,0.21728516,0.021484375
9.30E-05,0.22167969,0.017578125
9.40E-05,0.21679688,0.014648438
9.50E-05,0.22363281,0.015625
9.60E-05,0.18652344,-0.018554688
9.70E-05,0.2133789,0.01171875
9.80E-05,0.19433594,-0.005371094
9.90E-05,0.23291016,-0.010253906
